Código,Código de barras,Marca,Tipo de Chip,Multichip,Tipo de Tela,Tamanho do Display,Resolução,Câmera Traseira,Câmera Frontal,Filmadora,Processador,Memória RAM,Memória Interna,Expansivo até?,Banda,Conexões,"Alimentação, tipo de bateria",Conteúdo da Embalagem,Garantia do Fornecedor,Dimensões do produto - cm (AxLxP),Modelo,Referência do Modelo,SAC,Cor,Preço
7275057807,7892509127547,Samsung,Nano-SIM (4FF),Dual Chip,PLS LCD,"6.6""",1080 x 2408 (FHD+),50MP + 5MP + 2MP,13MP,FHD (1920 x 1080),Octa-Core 2GHz,4GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B26(850),B28(700),B66(AWS-3)","Wi-Fi, 2G, 3G e 4G",Íons de Lítio 5000mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,7x7,8x0,91cm",SM-A145M/DS,Galaxy A14 4G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Prata,"R$ 999,00"
7248194865,7892597353132,Motorola,Nano SIM,Dual Chip,IPS,"6,5""",HD+ (720x1600),Dupla: Principal de 16MP + Sensor de Profundidade de 2MP,5MP,Full HD (30fps),MediaTek G37,4GB,128GB,Até 1TB com Micro SD,4G,"Bluetooth, Wi-Fi",Carregador Rápido 10W,"1 Smartphone, Kit de manuais, 1 Cabo USB-A/USB-C, 1 Carregador de parede, 1 Ferramenta de remoção do chip.",12 meses,18x9x5cm,E22,XT2239-10,4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades,"Preto,Moto e22 - Grafite,Moto e22 - Branco,Azul","R$ 809,10"
7332621276,7892509127530,Samsung,Nano-SIM (4FF),Dual Chip,PLS LCD,"6.6""",1080 x 2408 (FHD+),50MP + 5MP + 2MP,13MP,FHD (1920 x 1080),Octa-Core 2GHz,4GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B26(850),B28(700),B66(AWS-3)","Wi-Fi, 2G, 3G e 4G",Íons de Lítio 5000mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,"16,7x7,8x0,91cm",SM-A145M,Galaxy A14 4G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 1.870,79"
7414597353,7892597353088,Motorola,"Nano SIM, e-SIM",Dual Chip,IPS,"6,5""",HD+ (720x1600),Dupla: Principal de 50MP + Macro de 2MP,8MP,Full HD (30fps),Snapdragon 480+ Octa-Core,4GB + RAM Boost,128GB,Até 1TB com Micro SD,5G,"Bluetooth, Wi-Fi",TurboPower 20W,"1 Smartphone, Kit de manuais, 1 Cabo USB-A/USB-C, 1 Carregador TurboPower 20W, 1 Ferramenta de remoção do chip",12 meses,17x8x5cm,PAVU00,XT2335-1,4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades,"Preto,Grafite,Azul","R$ 719,00"
7275057022,7892509127523,Motorola,Nano SIM,Dual Chip,IPS,"6,5""",HD+ (720x1600),Dupla: Principal de 16MP + Sensor de Profundidade de 2MP,5MP,Full HD (30fps),MediaTek G37,4GB,128GB,Até 1TB com Micro SD,4G,"Bluetooth, Wi-Fi",Carregador Rápido 10W,"1 Smartphone, Kit de manuais, 1 Cabo USB-A/USB-C, 1 Carregador de parede, 1 Ferramenta de remoção do chip.",12 meses,18x9x5cm,SM-A145M/DS,XT2239-10,4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades,Preto,"R$ 999,00"
7316442745,7892597352647,Samsung,Nano Chip,Dual Chip,Super AMOLED,"6.4""",2340 x 1080 (FHD+),12 MP + 12 MP + 8 MP,32MP,UHD 8K,Octa-Core 2.9GHz,6GB,128GB,Não possui entrada para cartão de memória,"N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3)","Wi-Fi, 3G, 4G e 5G",Bateria de Íons de Lítio de 4.500mAh Bivolt,"Aparelho celular, Cabo USB, Extrator de Chip e Manual do usuário",12 Meses,"15,57x7,45x0,79cm",G53,Galaxy S21 FE 5G 128 GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),"Prata,Grafite,Rose","R$ 1.119,00"
7256011002,7892597353088,Motorola,Nano Chip,Dual Chip,LCD IPS,6.5'',HD+ (720 x 1600),50 mp + 8 mp,16 mp,Full HD,"Dimensity 930 (2,2 GHz Octa-Core) img BXM-8-256",2GB,32GB,MicroSD até 1TB,"""2G - GSM 850/900/1800/1900 MHz  3G - WCDMA 850/900/1700/1900/2100 MHz  4G - LTE B1/B2/B3/B4/B5/B7/B8/B13/B26/B28/B38/B40/B66""","Bluetooth, Wi-Fi",5000 mAh,"1 Smartphone, 1 Capa protetora, Kit de manuais, 1 Cabo USB-A/USB-C, 1 Carregador TurboPower, 1 Ferramenta de remoção do chip.",12 Meses,"16,4x7,4x0,85cm",E22,XT2345-1,4002-1244 Capitais e Regiões Metropolitanas ou 0800 773-1244 - Demais Regiões,Azul,"R$ 799,00"
7287293743,7892509128865,Motorola,Nano SIM,Dual Chip,IPS,"6,5""",HD+ (720x1600),13MP F2.0,5MP,Full HD (30fps),"Unisoc T606 (1,6 GHz Octa-Core)",4GB,128GB,Até 512GB com Micro SD,4G,"Wi-Fi, 3G, 4G e 5G",TurboPower 20W,"Aparelho celular, Cabo USB, Extrator de Chip e Manual do usuário",12 meses,17x10x5cm,SM-M146B,XT2333-4,4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades,"Prata,Azul Marinho,Azul","R$ 934,15"
4422240127,7892509121026,Samsung,Nano Chip,Dual Chip,Super AMOLED Plus,"6.7""",1080 x 2400 (FHD+),Tripla: Principal de 50MP + Híbrida Ultra-wide e Sensor de Profundidade de 5MP + Macro de 2MP,16MP,UHD 4K,Helio G85 Octa-Core,8GB,128GB,MicroSD até 1TB,"N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3)","Wi-Fi,3G,4G",Bateria de Íons de Lítio de 5.000mAh Bivolt,"01 telefone, 01 kit de manuais, 01 fone de ouvido estéreo, 01 cabo usb-a / usb-c,01 carregador de parede, 01 ferramenta de remoção do chip",12 Meses,"16,47x7,7x0,74cm",SM-G990E/DS,Galaxy M53 5G 128 GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Preto,"R$ 1.948,99"
7309203922,7892597352999,Motorola,Nano Chip,Dual Chip,LCD IPS,6.5'',HD+ (720 x 1600),108MP + 8MP + 2MP+ 2MP,32MP,Full HD,Octa-Core 2.4GHz,4GB,64GB,MicroSD até 1TB,"""2G - GSM 850/900/1800/1900 MHz
 3G - WCDMA 850/900/1700/1900/2100 MHz
 4G - LTE B1/B2/B3/B4/B5/B7/B8/B13/B26/B28/B38/B40/B66""","Wi-Fi, 2G, 3G, 4G e 5G",5000 mAh,"Aparelho celular, carregador, cabo USB, Extrator de Chip e manual do usuário",12 Meses,16.4x7.5x0.85cm,Moto G,XT2227-1,4002-1244 Capitais e Regiões Metropolitanas ou 0800 773-1244 - Demais Regiões,Azul e Branco,"R$ 1.349,10"
7399085084,7892597352821,Motorola,Nano-SIM (4FF),Dual Chip,Super AMOLED,"6.4""",1080 x 2340 (FHD+),50 mp + 8 mp + 2 mp,16 mp,UHD 4K,"Snapdragon 680 (2,4 GHz Octa-Core) Adreno 610",8GB,128GB,MicroSD até 1TB,"GSM850,GSM900,DCS1800,PCS1900 / B1(2100),B2(1900),B4(AWS),B5(850),B8(900) / B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),B12(700),B13(700),B17(700) / B20(800),B26(850),B28(700),B32(1500),B66(AWS-3) / FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N28(700),N66(AWS-3) / TDD: N40(2300),N41(2500),N78(3500)","Wi-Fi, 3G, 4G e 5G",Ions de Lítio 5000mAh,"Aparelho celular, Cabo USB tipo C, Extrator de Chip e Manual do usuário
Carregador não incluso na caixa",12 Meses,"15,82x7,67x0,82cm",MOTO E13 32GB,Galaxy A54 5G 128GB,4004-0000 (Capitais e grandes centros) ou 0800-124-421 (Demais cidades e regiões),Grafite,"R$ 649,00"
